link,capacity,internal
LINX-LON1_ldn-5-n7_#2,100,False
LINX-LON1_lon-thw-pb1-nc5_#1,100,False
LINX-LON1_lon-thw-pb1-nc5_#2,100,False
LINX-LON1_lon-thw-pb2-nc5_#1,100,False
LINX-LON1_lon-thw-pb2-nc5_#2,100,False
LINX-LON2_ldn-1-n7_#1,100,False
LINX-LON2_lon-thw-pb1-nc5_#1,100,False
LUMEN_fra-fr5-pb5-nc5_#1,100,False
LUMEN_lon-drch-pb1-nc5_#1,100,False
LUMEN_lon-thw-pb2-nc5_#1,100,False
LUMEN_par-gsw-pb2-nc5_#1,100,False
LUMEN_par-th2-pb3-nc5_#1,100,False
LUMEN_waw-atm-pb1-nc5_#1,100,False
LUMEN_waw-wa1-pb1-nc5_#1,100,False
M247.RO_fra-1-n7_#1,100,False
M247.RO_fra-1-n7_#2,100,False
M247.RO_fra-fr5-pb4-nc5_#1,100,False
M247.RO_fra-fr5-pb4-nc5_#2,100,False
M247_fra-fr5-pb4-nc5_#1,100,False
MEGAFON_waw-wa1-pb1-nc5_#1,100,False
META_fra-fr5-pb5-nc5_#1,100,False
META_fra-fr5-pb6-nc5_#1,100,False
META_lon-thw-pb3-nc5_#1,100,False
META_par-pa3-pb1-nc5_#1,100,False
META_par-th2-pb1-nc5_#1,100,False
META_waw-wa1-pb1-nc5_#1,100,False
MIX-IT_mil-kpn-pb1-nc5_#1,100,False
MIX-IT_mil-kpn-pb1-nc5_#2,100,False
MIX_mil-5-n7_#1,100,False
MIX_mil-5-n7_#2,100,False
MIX_mil-kpn-pb1-nc5_#1,100,False
MIX_mil-kpn-pb1-nc5_#2,100,False
MOBILY_mrs-mrs1-pb1-nc5_#1,100,False
MOBILY_mrs-mrs1-pb1-nc5_#2,100,False
MOBILY_mrs-mrs1-pb1-nc5_#3,100,False
MOBILY_mrs-mrs1-pb1-nc5_#4,100,False
MSK-IX_var-1-n7_#1,100,False
MSK-IX_waw-wa2-pb1-nc5_#1,100,False
MTS-MTU.RU_fra-1-n7_#1,100,False
MTS-MTU.RU_fra-5-n7_#1,100,False
MTS-MTU.RU_fra-fr5-pb2-nc5_#1,100,False
MTS-PJSC_fra-5-n7_#1,100,False
MYLOC_fra-fr5-pb3-nc5_#1,100,False
NETIA_var-5-n93_#1,100,False
NETIA_waw-wa1-pb1-nc5_#1,100,False
NETIX_fra-1-n7_#1,100,False
NETIX_fra-fr5-pb4-nc5_#1,100,False
NIX.CZ_prg-sitl-pb1-nc5_#4,100,False
NIX_prg-sitl-bb1-a72_#4,100,False
NIX_prg-sitl-pb1-nc5_#4,100,False
NOVOSERVE_ams-1-n7_#1,100,False
NOVOSERVE_ams-5-n7_#1,100,False
NOVOSERVE_ams-ams9-pb1-ptx_#1,100,False
NOVOSERVE_ams-gsa1-pb3-8k_#1,100,False
NUMERICABLE_FRANCE-IX_#1,100,False
NUMERICABLE_FRANCE-IX_#2,100,False
NUMERICABLE_GOOGLE_#1,100,False
NUMERICABLE_GOOGLE_#2,100,False
NUMERICABLE_SFR_#1,100,False
NUMERICABLE_SFR_#2,100,False
NUMERICABLE_par-th2-pb3-nc5_#1,100,False
NUMERICABLE_par-th2-pb3-nc5_#2,100,False
NUMERICABLE_th2-1-n7_#1,100,False
NUMERICABLE_th2-1-n7_#2,100,False
OMANTEL_fra-1-n7_#1,100,False
OMANTEL_fra-1-n7_#2,100,False
OMANTEL_fra-1-n7_#3,100,False
OMANTEL_fra-1-n7_#4,100,False
OMANTEL_fra-fr5-pb6-nc5_#1,100,False
OMANTEL_fra-fr5-pb6-nc5_#2,100,False
OMANTEL_fra-fr5-pb6-nc5_#3,100,False
OMANTEL_fra-fr5-pb6-nc5_#4,100,False
ONLINE_AMAZON_#1,100,False
ONLINE_AMAZON_#2,100,False
ONLINE_AMAZON_#3,100,False
ONLINE_CDN77_#1,100,False
ONLINE_JASTEL_#4,100,False
ONLINE_TELEFONICA_#1,100,False
ONLINE_TELEFONICA_#5,100,False
ONLINE_TELEFONICA_#6,100,False
ONLINE_TELEFONICA_#7,100,False
ONLINE_TELEFONICA_#8,100,False
ONLINE_VERIZON_#1,100,False
ONLINE_gsw-1-n7_#1,100,False
ONLINE_par-gsw-pb2-nc5_#1,100,False
ONLINE_par-th2-pb2-nc5_#1,100,False
ONLINE_th2-1-n7_#1,100,False
ORANGE-SPAIN_mad-2-a72_#1,100,False
ORANGE-SPAIN_mad-2-a72_#2,100,False
ORANGE-SPAIN_mad-2-a72_#3,100,False
ORANGE-SPAIN_mad-2-a72_#4,100,False
ORANGE.BE_bru-1-a72_#1,100,False
ORANGE.BE_bru-1-a72_#2,100,False
ORANGE.BE_bru-bru1-bb2-a72_#1,100,False
ORANGE.BE_bru-bru1-bb2-a72_#2,100,False
ORANGE.BE_bru-bru1-pb1-ptx_#1,100,False
ORANGE.BE_bru-bru1-pb2-8k_#1,100,False
ORANGE.BE_bru-bru1-pb2-8k_#2,100,False
ORANGE_BOUYGUES_#1,100,False
ORANGE_gsw-1-n7_#1,100,False
ORANGE_par-gsw-pb1-nc5_#1,100,False
ORANGE_par-gsw-vcoagg2-n92_#1,100,False
ORANGE_par-th2-pb1-nc5_#1,100,False
ORANGE_par-th2-vcoagg2-n92_#1,100,False
ORANGE_rbx-5-a72_#1,100,False
ORANGE_th2-1-n7_#1,100,False
OTEGLOBE_fra-1-n7_#1,100,False
OTEGLOBE_fra-1-n7_#2,100,False
OTEGLOBE_fra-1-n7_#3,100,False
OTEGLOBE_fra-1-n7_#4,100,False
OTEGLOBE_fra-fr5-pb3-nc5_#1,100,False
OTI_COGENT_#1,100,False
OTI_COGENT_#2,100,False
OTI_JASTEL_#3,100,False
OTI_JASTEL_#4,100,False
OTI_SEABONE_#1,100,False
OTI_SEABONE_#2,100,False
OTI_fra-1-n7_#1,100,False
OTI_fra-fr5-pb2-nc5_#1,100,False
OTI_mad-1-n7_#1,100,False
OTI_mad-1-n7_#2,100,False
OTI_mad-mad2-pb1-ptx_#1,100,False
OTI_mad-mad2-pb1-ptx_#2,100,False
OTI_mrs-mrs1-bb1-a72_#1,100,False
OTI_mrs-mrs1-pb1-nc5_#1,100,False
OTI_par-gsw-pb3-nc5_#1,100,False
OTI_par-pa3-pb1-nc5_#1,100,False
OTI_par-pa3-pb2-ptx_#1,100,False
OTI_par-th2-pb2-nc5_#1,100,False
OTI_par-th2-pb2-nc5_#2,100,False
OTI_th2-1-n7_#1,100,False
OTI_th2-1-n7_#2,100,False
PEBBLEHOST_lon-thw-pb2-nc5_#1,100,False
PEERING.CZ_prg-sitl-bb1-a72_#1,100,False
PEERING.CZ_prg-sitl-pb1-nc5_#1,100,False
PLAY_waw-atm-pb1-nc5_#1,100,False
PLIX_var-1-n7_#1,100,False
PLIX_var-5-n93_#1,100,False
PLIX_waw-wa1-pb1-nc5_#1,100,False
PLIX_waw-wa2-pb1-nc5_#1,100,False
PLUS_var-5-n93_#1,100,False
PLUS_var-5-n93_#2,100,False
PLUS_var-5-n93_#3,100,False
PLUS_var-5-n93_#4,100,False
PLUS_waw-wa1-pb1-nc5_#1,100,False
PLUS_waw-wa1-pb1-nc5_#2,100,False
PLUS_waw-wa1-pb1-nc5_#3,100,False
PLUS_waw-wa1-pb1-nc5_#4,100,False
RETN_ams-1-n7_#1,100,False
RETN_ams-gsa1-pb1-8k_#1,100,False
RETN_var-5-n93_#1,100,False
RETN_waw-wa1-pb1-nc5_#1,100,False
RGCOM_ldn-5-n7_#1,100,False
RGCOM_ldn-5-n7_#2,100,False
RGCOM_lon-thw-pb3-nc5_#1,100,False
RGCOM_lon-thw-pb3-nc5_#2,100,False
SCALEWAY_ams-ams9-pb1-ptx_#1,100,False
SCALEWAY_par-gsw-pb2-nc5_#1,100,False
SCALEWAY_par-th2-pb2-nc5_#1,100,False
SEABONE_EQUINIX_#1,100,False
SEABONE_OTI_#1,100,False
SEABONE_OTI_#2,100,False
SEABONE_fra-5-n7_#1,100,False
SEABONE_fra-5-n7_#2,100,False
SEABONE_fra-fr5-pb2-nc5_#1,100,False
SEABONE_fra-fr5-pb3-nc5_#1,100,False
SEABONE_fra-fr5-pb4-nc5_#1,100,False
SEABONE_fra-fr5-pb4-nc5_#2,100,False
SEABONE_mil-5-n7_#1,100,False
SEABONE_mil-5-n7_#2,100,False
SEABONE_mil-kpn-pb1-nc5_#1,100,False
SEABONE_mil-kpn-pb1-nc5_#2,100,False
SEABONE_par-pa3-pb1-nc5_#1,100,False
SEABONE_par-th2-pb1-nc5_#1,100,False
SEABONE_par-th2-pb1-nc5_#2,100,False
SEABONE_th2-1-n7_#1,100,False
SEABONE_th2-1-n7_#2,100,False
SERVERIUS_ams-1-n7_#1,100,False
SERVERIUS_ams-1-n7_#2,100,False
SERVERIUS_ams-gsa1-pb1-8k_#1,100,False
SFR_FRANCE-IX_#1,100,False
SFR_GOOGLE_#1,100,False
SFR_JASTEL_#1,100,False
SFR_JASTEL_#3,100,False
SFR_NUMERICABLE_#1,100,False
SFR_NUMERICABLE_#2,100,False
SFR_TELEFONICA_#1,100,False
SFR_TELEFONICA_#2,100,False
SFR_TELEFONICA_#3,100,False
SFR_TELEFONICA_#4,100,False
SFR_gsw-1-n7_#1,100,False
SFR_par-gsw-pb2-nc5_#1,100,False
SFR_par-th2-pb2-nc5_#1,100,False
SFR_th2-1-n7_#1,100,False
SHADOW_ams-1-n7_#1,100,False
SHADOW_ams-5-n7_#1,100,False
SHADOW_par-gsw-pb1-nc5_#1,100,False
SHADOW_par-gsw-pb2-nc5_#1,100,False
SHADOW_par-gsw-pb3-nc5_#1,100,False
SHADOW_par-th2-pb1-nc5_#1,100,False
SHADOW_par-th2-pb2-nc5_#1,100,False
SHADOW_par-th2-pb3-nc5_#1,100,False
SKY UK_ldn-1-n7_#1,100,False
SKY UK_lon-thw-pb1-nc5_#1,100,False
SPB-IX_var-5-n93_#1,100,False
SPB-IX_var-5-n93_#2,100,False
SPB-IX_var-5-n93_#3,100,False
SPB-IX_var-5-n93_#4,100,False
SPEED-IX_ams-5-n7_#1,100,False
SPEED-IX_ams-gsa1-pb1-8k_#1,100,False
STC_par-th2-pb1-nc5_#1,100,False
SUNRISE_zrh-zh2-bb1-a72_#1,100,False
SUNRISE_zrh-zh2-bb1-a72_#2,100,False
SUNRISE_zrh-zh2-bb1-a72_#3,100,False
SUNRISE_zrh-zh2-bb1-a72_#4,100,False
SWISSCOM_zrh-zh2-bb1-a72_#1,100,False
SWISSCOM_zrh-zh2-bb1-a72_#2,100,False
TALKTALK_ldn-1-n7_#1,100,False
TALKTALK_lon-thw-pb1-nc5_#1,100,False
TELEFONICA_ONLINE_#1,100,False
TELEFONICA_ONLINE_#5,100,False
TELEFONICA_ONLINE_#6,100,False
TELEFONICA_ONLINE_#7,100,False
TELEFONICA_ONLINE_#8,100,False
TELEFONICA_SFR_#1,100,False
TELEFONICA_SFR_#2,100,False
TELEFONICA_SFR_#3,100,False
TELEFONICA_SFR_#4,100,False
TELEFONICA_fra-1-n7_#1,100,False
TELEFONICA_fra-fr5-pb1-ptx_#1,100,False
TELEFONICA_gsw-1-n7_#1,100,False
TELEFONICA_gsw-1-n7_#2,100,False
TELEFONICA_gsw-1-n7_#3,100,False
TELEFONICA_gsw-1-n7_#4,100,False
TELEFONICA_gsw-1-n7_#5,100,False
TELEFONICA_gsw-1-n7_#6,100,False
TELEFONICA_gsw-1-n7_#7,100,False
TELEFONICA_gsw-1-n7_#8,100,False
TELEFONICA_mad-1-n7_#1,100,False
TELEFONICA_mad-1-n7_#2,100,False
TELEFONICA_mad-mad2-pb1-ptx_#1,100,False
TELEFONICA_mad-mad2-pb1-ptx_#2,100,False
TELEFONICA_par-gsw-pb3-nc5_#1,100,False
TELEFONICA_par-gsw-pb3-nc5_#2,100,False
TELEFONICA_par-gsw-pb3-nc5_#3,100,False
TELEFONICA_par-gsw-pb3-nc5_#4,100,False
TELEFONICA_par-gsw-pb3-nc5_#5,100,False
TELEFONICA_par-gsw-pb3-nc5_#6,100,False
TELEFONICA_par-gsw-pb3-nc5_#7,100,False
TELEFONICA_par-gsw-pb3-nc5_#8,100,False
TELENET-UPC_bru-1-a72_#1,100,False
TELENET-UPC_bru-1-a72_#2,100,False
TELENET-UPC_bru-bru1-bb2-a72_#1,100,False
TELENET-UPC_bru-bru1-bb2-a72_#2,100,False
TELENET-UPC_bru-bru1-pb1-ptx_#1,100,False
TELENET-UPC_bru-bru1-pb1-ptx_#2,100,False
TELENET-UPC_bru-bru1-pb2-8k_#1,100,False
TELENET-UPC_bru-bru1-pb2-8k_#2,100,False
TELIA_ams-1-n7_#1,100,False
TELIA_fra-1-n7_#1,100,False
TELIA_fra-5-n7_#1,100,False
TELIA_fra-fr5-pb4-nc5_#1,100,False
TELIA_fra-fr5-pb6-nc5_#1,100,False
TELIA_ldn-1-n7_#1,100,False
TELIA_ldn-5-n7_#1,100,False
TELIA_lon-drch-pb1-nc5_#1,100,False
TELIA_lon-thw-pb1-nc5_#1,100,False
TELIA_lon-thw-pb2-nc5_#1,100,False
TELIA_mad-1-n7_#1,100,False
TELIA_mad-mad2-pb1-ptx_#1,100,False
TELIA_mil-5-n7_#1,100,False
TELIA_mil-kpn-pb1-nc5_#1,100,False
TELIA_par-pa3-pb1-nc5_#1,100,False
TELIA_par-th2-pb1-nc5_#1,100,False
TELIA_var-5-n93_#1,100,False
TELIA_vie-vie2-pb1-nc5_#4,100,False
